Sample	Otu00001	Otu00002	Otu00003	Otu00004	Otu00006	Otu00005	Otu00009	Otu00010	Otu00007	Otu00013	Otu00008	Otu00014	Otu00011	Otu00012	Otu00015	Otu00017	Otu00020	Otu00021	Otu00018	Otu00016
N1	0.656573705	38.35856574	33.48844622	1.545816733	0	0.796812749	0	0	0.210358566	0.745816733	0.028685259	2.364940239	1.306772908	0.082868526	0.003187251	0	0	0.219920319	0.006374502	0.009561753
N2	0.566110896	40.75610702	25.41295076	2.29934083	0	2.163629314	0	0.023264831	0.131834044	1.132221791	0.019387359	2.07444746	1.229158589	0.488561458	0.003877472	0	0	0.387747189	0.20550601	0.031019775
N3	12.69420392	27.5800638	9.508223889	4.114015826	0	0.770601152	0	0.907320711	0.675311762	0.708455898	0.136719559	2.046650371	0.240294983	2.146082777	0.05385922	0	0	0.418444711	2.262087252	1.802212371
N4	30.41382081	32.43413878	9.234919359	3.036216495	0	1.595592034	0	0.18366527	2.008838891	0.895368191	1.802215462	1.302875509	0.355851461	2.261378637	0.022958159	0	0	0.809275096	0.022958159	0.241060667
N5	4.213102574	27.24094227	3.312792273	21.5244089	0	1.603950876	0	0.126742712	0.563786548	0.196669726	1.75254578	2.04536515	0.214151479	3.019972903	0.021852192	0	0	0.572527425	4.916743149	1.560246493
N6	11.33337048	28.95748593	7.104251407	13.01610297	0	1.443138129	0	0.005571962	0.596199922	0.429041065	0.774502702	2.429375383	0.50147657	1.275979272	0.016715886	0	0	0.534908341	2.797124868	1.660444643
N7	21.41330397	29.25059913	4.760671028	4.87725889	0	0.511691172	0	0.01943131	0.900317378	0.958611309	0.129542069	2.480730617	0.731912689	1.768249239	0.01943131	0	0	1.612798756	2.519593238	3.413433513
N8	26.39460505	18.38647295	11.81633361	0.783458125	0	5.558585808	0	0.014875787	1.467744335	0.352060297	0.148757872	2.742103436	0.183468042	1.26444191	0.054544553	0	0	2.216492289	3.808201517	3.555313135
N9	48.41281691	5.745513184	1.269149222	3.729805596	0	0.319526981	0	0.032848568	2.454683907	0.053752202	0.122435572	1.546868934	0.005972467	1.403529728	0.053752202	0	0	0.074655837	1.119837549	7.31925822
N10	42.46527558	4.189129194	10.21437179	0.488361768	0	1.408004059	0	0.072937147	5.603475614	0.190270819	0.053910065	1.024291241	0.019027082	0.929155832	0.019027082	0	0	0.066594787	0.726200292	6.009386694
N11	60.11640798	0.015397881	0.015397881	0.754496181	0	0.067750678	0	0	0.104705593	0.212490761	0.015397881	0.375708303	0.104705593	0.46809559	0.563562454	0	0	0.006159153	0.064671101	0.021557034
N12	52.98512531	0.027168376	0.006792094	1.494260681	0	0.06792094	0.006792094	0	5.37933845	0.006792094	0.061128846	0	0.258099572	0.421109828	18.35903009	0	0	0.040752564	0.692793588	1.304082048
N13	53.60264684	0.008169267	0.004084634	1.670615146	0	0.040846336	0.004084634	0.004084634	1.155951311	0	0.077608039	0.012253901	0.089861939	0.445225063	13.23829752	0	0	0.008169267	1.719630749	2.295564088
N14	60.27828934	0.008184981	0.085942296	2.77470841	0	0.094127276	0.008184981	0	3.806015961	0.090034786	0.053202374	0.00409249	2.271332106	0.351954164	8.888888889	0	0	0.00409249	0.462451402	0.261919378
N15	50.50816697	0.005185377	0.051853772	8.638838475	0	0.267046928	0	0	4.423126782	0.067409904	0.067409904	0.01814882	0.741508945	0.61965258	10.14000519	0	0	0.041483018	1.083743842	0.425200933
N16	59.06891645	0.020329335	0.016263468	6.89571051	0	0.121976011	0.004065867	0	0.918885952	0.004065867	0.101646676	0.008131734	2.069526326	0.280544826	15.08436674	0	0	0.004065867	0.861963814	0.309005896
