Family	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N30	N31	W1	W2	W3	W4
Phormidiaceae	0.662948207	0.573865839	13.07121846	30.86724445	4.322363533	11.6231125	21.86022411	26.96484356	48.98020127	42.96949325	60.58450357	53.97677104	54.36647333	61.03540004	51.20560021	59.75604798	50.06131626	32.06121721	1.577409932	27.16229349	14.17553829	20.42744904	25.62163032	4.979892761	17.52341445	3.40915685	1.910980651	0.237070008	5.88875136	0.186595014	19.6099597	0.697183745	0.514783527	0.284514293	6.19800562
Nostocaceae	40.66613546	44.38154323	29.81729295	38.31716696	32.07027665	32.84114337	31.23259278	25.56156097	6.653328157	6.050612038	0.104705593	0.183386538	0.155216077	0.175977082	0.368161784	0.284610693	4.970023164	18.63752797	19.66114898	17.17417126	33.06334065	26.39598557	24.43469864	38.86058981	30.38532267	30.64759473	38.21362248	42.4452078	33.33708413	29.73578146	25.98949338	0.591688836	0.211193242	0.209998645	0.176298827
Unknown_Family	37.09322709	27.09965103	11.26900609	10.37708776	4.571478519	8.274363403	8.828291988	14.53364407	1.478185565	10.57905753	0.428061099	0.312436324	0.065354138	0.257826888	0.277417682	0.117910144	0.415587955	5.528355112	2.395326193	4.972465177	9.843355043	6.543596506	3.794157882	10.46246649	3.147585853	5.222538154	18.28910322	22.72001548	15.94838903	20.61128527	10.40587219	0.454086781	0.725976769	0.596125186	0.369125668
Oxyphotobacteria_unclassified	1.590438247	2.345870492	4.180304097	3.082132813	21.69485599	13.1721179	4.8966902	0.78841672	3.771612865	0.523244752	0.800689825	1.514636963	1.825831223	2.844280745	8.750324086	7.042081724	0.224826271	8.680003891	2.494644596	5.560954541	3.86538497	6.159002253	4.293071538	9.832439678	8.45913698	13.86003598	6.272090098	5.128453239	11.22613555	6.101656964	4.217040875	0.155948996	0.026399155	0.054193199	0.038565368
Cryomorphaceae	0.4812749	0.558355952	0.111861458	0.00573954	0.139854027	0.167158857	0.006477103	0	0	0.009513541	0.064671101	0.013584188	0.004084634	0.008184981	0.005185377	0.004065867	0.006812917	0	0	0.04319188	0.416981863	0.025639617	0.024140983	0.147453083	0.089808835	0.01160564	0.071886419	0.053219798	0.056261956	0.858337065	0.140328152	41.95486653	38.5031679	47.39872646	45.09393422
Aeromonadaceae	0	0.023264831	0.907320711	0.18366527	0.126742712	0.005571962	0.01943131	0.014875787	0.032848568	0.072937147	0	0	0.004084634	0	0	0	0	0.003242437	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073387763	0.105596621	0.088063948	0.044074707
Xenococcaceae	0.251792829	0.201628538	2.605957658	2.645927797	2.290109698	2.485095002	5.000323855	5.841225765	12.93337713	15.55463944	0.141660508	6.975480541	3.774201454	4.313484755	5.200933368	1.410855865	16.89603488	9.866735839	30.68938656	21.10463233	3.42810753	0.260058971	0.052305464	0.100536193	0.025659667	0.046422561	0.05990535	0.116115922	0.052511159	0.160471712	0.349021301	0.13301532	0.065997888	0.047419049	0.187317503
Spirosomaceae	2.349003984	4.746025591	5.816795791	1.354531367	7.176259779	4.07310414	5.207591165	6.505677592	4.106071013	3.256802182	1.776915496	0.821843374	2.344579691	2.435031717	1.283380866	1.061191299	2.520779398	2.318342466	8.899707887	1.965230537	2.531412019	4.272659011	3.520560071	1.943699732	0.585895736	2.669297278	3.282813155	3.618946248	2.010427216	7.9004329	1.216177317	0.266030639	0.263991552	0.081289798	0.09916809
Chloroflexaceae	3.13625498	2.687088019	2.775821353	1.762038684	2.696560465	3.131442581	3.245028823	3.644567858	2.048556156	1.398490518	0.557403301	0.013584188	0.016338534	0.249641907	1.117448794	0.121976011	0.013625835	0.226970591	0.015579357	0.604686319	1.075665603	2.71963079	3.02969341	1.769436997	1.543856648	1.465212093	2.324327562	1.780444143	3.428228499	2.078668458	1.971790443	0.032107146	0	0.02032245	0.016528015
Cytophagales_unclassified	2.486055777	1.655680496	0.368728508	0.671526144	0.42393252	0.67977935	1.133493102	0.451232211	0.098545704	0.085621868	9.020078837	0.672417306	0.988481333	3.748721097	1.760435572	2.598089042	0.827769451	7.979637496	0.584225901	3.120613325	11.49283197	4.983242679	7.157801561	7.352546917	10.98661421	7.215806882	3.96573414	2.56422662	4.654739132	2.6309897	8.031088083	0.050454087	0.065997888	0.02032245	0.187317503
