Sample	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00007	Otu00021
N1	0.656573705	38.35856574	33.48844622	1.545816733	0.796812749	0.210358566	0.219920319
N2	0.566110896	40.75610702	25.41295076	2.29934083	2.163629314	0.131834044	0.387747189
N3	12.69420392	27.5800638	9.508223889	4.114015826	0.770601152	0.675311762	0.418444711
N4	30.41382081	32.43413878	9.234919359	3.036216495	1.595592034	2.008838891	0.809275096
N5	4.213102574	27.24094227	3.312792273	21.5244089	1.603950876	0.563786548	0.572527425
N6	11.33337048	28.95748593	7.104251407	13.01610297	1.443138129	0.596199922	0.534908341
N7	21.41330397	29.25059913	4.760671028	4.87725889	0.511691172	0.900317378	1.612798756
N8	26.39460505	18.38647295	11.81633361	0.783458125	5.558585808	1.467744335	2.216492289
N9	48.41281691	5.745513184	1.269149222	3.729805596	0.319526981	2.454683907	0.074655837
N10	42.46527558	4.189129194	10.21437179	0.488361768	1.408004059	5.603475614	0.066594787
N11	60.11640798	0.015397881	0.015397881	0.754496181	0.067750678	0.104705593	0.006159153
N12	52.98512531	0.027168376	0.006792094	1.494260681	0.06792094	5.37933845	0.040752564
N13	53.60264684	0.008169267	0.004084634	1.670615146	0.040846336	1.155951311	0.008169267
N14	60.27828934	0.008184981	0.085942296	2.77470841	0.094127276	3.806015961	0.00409249
N15	50.50816697	0.005185377	0.051853772	8.638838475	0.267046928	4.423126782	0.041483018
N16	59.06891645	0.020329335	0.016263468	6.89571051	0.121976011	0.918885952	0.004065867
N17	49.52309579	0.047690421	0.044283962	0.153290639	0.180542308	13.03311078	0.010219376
N18	31.58133653	14.4969359	5.210596284	8.26821439	0.301546642	5.414869816	0.012969748
N19	1.536514119	3.665043817	0.47322298	2.459591042	1.517039922	16.8023369	0.445959104
N20	26.60079905	11.47284311	3.633516899	5.463772811	0.750458914	15.71644531	0.302343159
N21	13.90800568	10.56292552	7.238140925	3.837709183	5.714127567	2.907802727	1.509252938
N22	20.08680842	17.23714814	4.593154222	6.104060216	0.807647931	0.036628024	0.531106349
N23	25.16697513	17.99710308	2.98543494	4.26088356	0.402349722	0.016093989	0.422467208
N24	4.932975871	30.4691689	9.014745308	9.792225201	0.951742627	0.040214477	0.991957105
N25	17.20694522	26.26480777	2.64294573	8.369328144	0.359235342	0.014968139	0.305777702
N26	3.327917368	26.72198689	4.645157547	13.74688098	1.69442349	0.037718331	0.32785934
N27	1.857065836	20.09824477	16.79746001	6.212184748	13.40082669	0.04792428	1.096267897
N28	0.232231845	22.72969181	21.43790217	5.065557115	16.23687648	0.087086942	0.701533698
N29	5.772476651	24.48520311	14.41806384	11.15487041	4.560969206	0.045009565	1.080229549
N30	0.179131214	14.23346768	18.96551724	6.04941036	12.63621436	0.13061651	0.779967159
N31	19.25734024	12.90299367	8.103051238	4.155872193	8.678756477	0.320236039	1.741508348
W1	0.596275571	0.495367397	0.064214292	0.146775525	0.045867352	0.055040822	0.027520411
W2	0.356388596	0.105596621	0.039598733	0	0	0	0.145195354
W3	0.277740144	0.142257147	0.135482997	0.033870749	0.040644899	0.00677415	0.0135483
W4	6.076800176	0.126714782	0.060602722	0.016528015	0	0.148752135	0.011018677
N_1	1.355038196	5.665696617	6.929792652	0.600218261	2.191706075	0.072753729	1.564205166
N_2	0.764119601	5.431893688	8.330564784	0.215946844	0.96345515	0.074750831	0.398671096
N_3	0.181138911	1.092494056	3.803917129	0.64530737	0.41322314	0.028302955	1.845352655
N_4	0.13393777	1.34968061	6.614465279	0.927261488	1.123016691	0.051514527	1.009684731
N_5	0.160616768	0.156027718	2.546923042	4.148501675	2.955348538	0.018356202	2.840622275
N_6	1.758052619	0.147528891	3.134988935	13.74477502	6.35603639	0.565527416	6.368330465
N_7	0.267459138	0.267459138	6.191183754	6.815255077	4.110946013	0.307082714	3.259039128
N_8	10.10069873	6.52486642	6.673859433	9.201602959	0.52404439	2.106452939	0.087340732
N_9	0.602094241	4.435302917	2.543006731	1.346297681	0.845175767	0.033657442	3.717277487
N_10	41.88404461	0.373306296	0.013826159	27.30666421	2.599317909	0.00460872	0.046087197
N_11	39.47146472	0.688782682	0.084340737	12.43557305	10.46762253	0.276450192	0.112454315
N_12	40.07627459	0.008028904	0.044158972	5.56403051	7.856282617	4.604576475	0.004014452
N_13	33.52795553	0.023354664	0.25223037	13.15801766	5.31552151	2.858610865	0.046709328
N_14	23.5380536	0.046581625	0.691557976	13.53375376	8.746595958	3.65844919	0.240074531
N_15	24.7014625	0.013417416	0.41593989	11.19683349	2.985375017	2.703609285	0.322017979
