Sample	CRSK_OTU16	CRSK_OTU1	CRSK_OTU11	CRSK_OTU2102	CRSK_OTU351	CRSK_OTU147	CRSK_OTU2	CRSK_OTU4
ARU_RepA	1.560509554	0	0.923566879	0	0	0.143312102	2.181528662	0
ARU_RepB	0.068082789	1.157407407	4.588779956	0	0	0.040849673	1.252723312	1.647603486
ARU_RepC	0.278253425	0.02140411	16.90924658	0	0	0.02140411	29.45205479	0.02140411
RM1_RepA	0.031801558	25.41739545	0.039751948	0.015900779	0.278263635	0.023851169	0.087454285	5.620925425
RM1_RepB	0.08256502	24.16402917	0	0	0.137608367	0	0.08256502	7.238200083
RM1_RepC	0.01289657	9.040495228	0.038689709	0	0	0.141862265	0.077379417	24.83879288
RM2_RepA	0.023261224	6.652709933	0	0	0.046522447	0	0	0.139567341
RM2_RepB	0.016148567	5.555106984	0	0	0.096891401	0	0.016148567	0.427937021
RM2_RepC	0	11.47255301	0	0	0.058088876	0	0.058088876	0.174266628
RL_RepA	0.027816412	16.74547983	0	0	0.027816412	0.403337969	0.222531293	2.80945758
RL_RepB	0.023840744	5.578734057	0	0	0.047681488	0.011920372	7.295267612	2.086065085
RL_RepC	0.056715064	1.270417423	0	0.011343013	0	0	0.022686025	0.079401089
ARU_water	0.367604825	0.183802412	0.022975302	0	0	0.29867892	3.296955773	0.160827111
ASU_RepA	3.375032578	0.130310138	0.156372166	0	0.013031014	0	21.43601772	0.013031014
ASU_RepB	0.581395349	0.054505814	0.018168605	0	0	0	13.59011628	0.018168605
ASU_RepC	2.065450644	0.107296137	0.18776824	0	0	0.026824034	22.3444206	0
SM1_RepA	4.890926775	2.598304849	0.027789357	0	0.013894678	0.66694456	1.764624149	0.639155204
SM1_RepB	0.932784636	4.307270233	0	0.013717421	0.082304527	0.260631001	13.36076818	0.754458162
SM1_RepC	0.689127106	2.514037774	0	0	0	0.204185809	4.4920878	1.084737111
SM2_RepA	0.102025944	3.250255065	0	0.014575135	0.043725404	0.014575135	0.043725404	2.142544819
SM2_RepB	0.065555347	2.228881813	0	0	0.028095149	0	0.018730099	0.908409815
SM2_RepC	0.201342282	6.88590604	0	0	0.013422819	0.013422819	0.013422819	4.88590604
SL_RepA	3.818108163	14.27992708	0	0	0.081020863	0.050638039	0.060765647	2.572412396
SL_RepB	0.101605365	24.35480593	0.010160536	0.040642146	0.081284292	0	0.010160536	0.772200772
SL_RepC	0.115406809	5.424120023	0	0.014425851	0.028851702	0	0.007212926	0.367859204
ASU_water	0.091157703	0.075964752	0	0	0	0.136736554	4.755393497	0
